i_adc_measurements
Data point,Value (V)
0,2.67385
1,2.7538
2,-89.8685
3,76.0122
4,42.3604
5,-20.4011
6,-3.86946
7,-10.2635
8,-2.03818
9,2.6298
10,4.68571
11,0.796304
12,-1.33474
13,-2.61351
14,-0.0582611
15,0.70153
16,0.49922
17,0.864763
18,0.218504
19,-1.28676
20,-0.357675
21,0.369659
22,-0.0950205
23,0.0558802
24,0.881279
25,0.0295125
26,-1.01476
27,-0.731887
28,0.871001
29,0.966077
30,-0.523688
31,-0.558933
32,0.498601
33,-0.170351
34,-0.578063
35,0.677611
36,0.544174
37,-0.72529
38,-0.379206
39,0.376811
40,0.326511
41,-0.153953
42,-0.308878
43,0.040705
44,0.482118
45,0.179577
46,-0.66315
47,-0.332385
48,0.388597
49,0.284261
50,0.218669
51,-0.297413
52,-0.494236
53,0.250171
54,0.38695
55,-0.0453834
56,-0.142902
57,-0.0286213
58,-0.0817368
59,-0.127261
60,0.0831834
61,0.2457
62,0.103437
63,-0.246435
64,-0.238873
65,-0.0136054
66,0.361813
67,0.224879
68,-0.189219
69,-0.0911304
70,-0.107723
71,-0.0583908
72,0.110439
73,0.234718
74,-0.00548921
75,-0.407064
76,-0.103429
77,0.307302
78,0.259308
79,-0.153372
80,-0.23826
81,0.135467
82,0.0775189
83,-0.0889325
84,-0.0594532
85,0.0474537
86,0.097902
87,-0.10665
88,-0.0452835
89,0.0972453
90,-0.0482996
91,-0.0117356
92,0.0886548
93,-0.0395642
94,-0.0122587
95,-0.0982718
96,-0.0263569
97,0.358249
98,0.0478307
99,-0.419354
100,-0.175166
101,0.284368
102,0.259413
103,-0.158381
104,-0.200895
105,0.0509284
106,0.118098
107,0.0101353
108,-0.0449199
109,0.00291623
110,0.0140991
111,0.0294366
112,-0.100292
113,-0.0645341
114,0.105402
115,-0.0149675
116,-0.0180211
117,-0.0390307
118,0.203027
119,0.0819035
120,-0.340729
121,0.185326
122,0.172184
123,-0.286746
124,-0.12231
125,0.0866966
126,0.198826
127,0.00124741
128,-0.154433
129,-0.0212562
130,0.131466
131,0.10198
132,-0.111094
133,-0.0738807
134,-0.0636132
135,0.00829613
136,0.242695
137,-0.00793016
138,-0.243193
139,-0.000613511
140,0.0686335
141,0.0863751
142,0.0660931
143,-0.154895
144,-0.0663732
145,0.0722116
146,-0.00776691
147,0.0650357
148,0.0624066
149,-0.0834112
150,0.00211546
151,-0.022377
152,-0.198908
153,0.0701894
154,0.366256
155,0.207937
156,-0.198692
157,-0.601289
158,-1.05974
159,1.27248
160,1.93469
161,-2.945
162,-0.775521
163,3.15281
164,0.112808
165,-1.11447
166,-0.35994
167,-0.103953
168,0.0708263
169,0.215035
170,0.230101
171,-0.00577717
172,-0.256629
173,-0.255254
174,0.0113382
175,0.200564
176,0.32318
177,0.00244205
178,-0.399943
179,-0.0910851
180,0.181438
181,0.0778006
182,-0.0212424
183,-0.0856504
184,0.0599725
185,0.0568621
186,-0.0923542
187,-0.0525959
188,0.0178022
189,0.122509
190,0.135618
191,-0.162935
192,-0.200402
193,0.120176
194,0.0968862
195,0.0291393
196,0.000929236
197,-0.119726
198,-0.0753023
199,-0.0386152
200,0.159119
201,0.181903
202,-0.074249
203,-0.0804181
204,-0.121593
205,-0.0720005
206,0.179798
207,0.129062
208,-0.0946316
209,-0.0613107
210,-0.0277955
211,-0.102838
212,0.0742571
213,0.223957
214,-0.0551777
215,-0.210198
216,0.0619245
217,-0.00709255
218,-0.03179
219,0.321062
220,-0.0886916
221,-0.419718
222,0.147747
223,0.220738
224,-0.1146
225,-0.0321971
226,0.138673
227,-0.0779549
228,-0.0768262
229,0.148191
230,-0.0251161
231,-0.0674788
232,0.0140707
233,0.0414337
234,-0.0378371
235,-0.15424
236,0.126394
237,0.222154
238,-0.160494
239,-0.181261
240,0.104102
241,0.111614
242,0.0261433
243,-0.0802699
244,-0.165763
245,0.140986
246,0.150104
247,-0.170663
248,-0.090263
249,0.0209838
250,0.130245
251,0.126514
252,-0.21514
253,-0.168247
254,0.292789
255,0.117655
256,-0.247927
257,-0.0536761
258,0.129463
259,0.0990372
260,-0.0567017
261,-0.17322
262,0.0722866
263,0.106715
264,-0.0951294
265,0.102338
266,0.13886
267,-0.163203
268,-0.296951
269,0.125545
270,0.255958
271,-0.156993
272,0.0539873
273,0.108966
274,-0.306135
275,-0.0443796
276,0.30839
277,0.102865
278,-0.164859
279,-0.232522
280,0.0444738
281,0.162141
282,0.141088
283,0.107151
284,-0.28216
285,-0.193259
286,0.21488
287,0.0486358
288,-0.0507432
289,0.187318
290,-0.17892
291,-0.342953
292,0.303044
293,0.246819
294,-0.292016
295,-0.151449
296,0.429737
297,0.0847424
298,-0.46218
299,0.131046
300,0.2438
301,-0.238466
302,-0.0888283
303,0.279913
304,-0.0198092
305,-0.390418
306,0.0595666
307,0.363244
308,0.048353
309,-0.21048
310,-0.120057
311,0.0167402
312,0.123399
313,0.178023
314,-0.106843
315,-0.178343
316,-0.0391613
317,-0.036474
318,0.302845
319,0.198421
320,-0.50387
321,-0.160081
322,0.498975
323,0.0268889
324,-0.296436
325,-0.0428594
326,0.129713
327,0.192196
328,0.035632
329,-0.165555
330,-0.288514
331,0.0584536
332,0.309316
333,0.0193776
334,-0.0881888
335,-0.198684
336,-0.098263
337,0.364709
338,0.149442
339,-0.374671
340,-0.105194
341,0.234549
342,0.10306
343,-0.100976
344,-0.0447904
345,0.072695
346,-0.124774
347,-0.0152258
348,0.475918
349,-0.017083
350,-0.967095
351,0.300066
352,0.832998
353,-0.681407
354,-0.216331
355,0.474744
356,-0.251362
357,-0.0854617
358,0.539645
359,-0.0823747
360,-0.530327
361,0.0516157
362,0.305297
363,0.0398509
364,0.0486759
365,-0.0488901
366,-0.161029
367,0.0903374
368,-0.0933666
369,0.0935953
370,0.20288
371,-0.325139
372,-0.214406
373,0.299376
374,0.187731
375,-0.272191
376,-0.0282291
377,0.235364
378,-0.0960135
379,-0.0931994
380,0.0716062
381,-0.0843925
382,-0.0552177
383,0.107695
384,0.236596
385,-0.0749896
386,-0.299545
387,0.0725193
388,0.310659
389,0.102541
390,-0.475828
391,0.0255793
392,0.266672
393,-0.515345
394,0.111191
395,0.56924
396,-0.0235887
397,-0.298471
398,-0.159972
399,0.142711
400,0.165078
401,-0.0647971
402,0.0413591
403,0.208359
404,-0.382789
405,-0.325091
406,0.3591
407,0.409065
408,-0.206128
409,-0.656201
410,0.164455
411,0.655055
412,-0.00820394
413,-0.378946
414,-0.199948
415,0.104816
416,0.258644
417,0.0519381
418,-0.0717688
419,-0.213001
420,-0.0666765
421,0.379181
422,0.159346
423,-0.284957
424,-0.181159
425,0.172005
426,-0.0833233
427,0.0195126
428,0.27916
429,-0.283702
430,-0.314185
431,0.371844
432,0.244286
433,-0.367064
434,-0.166823
435,0.309075
436,0.24472
437,-0.270498
438,-0.335324
439,0.285875
440,0.303389
441,-0.204397
442,-0.204681
443,0.19239
444,-0.0361161
445,-0.37295
446,0.21814
447,0.475796
448,0.00751214
449,-0.407915
450,-0.385283
451,0.318385
452,0.499196
453,-0.114671
454,-0.421518
455,0.00412149
456,0.249447
457,-0.204059
458,-0.20502
459,0.519141
460,0.346243
461,-0.624815
462,-0.424367
463,0.224302
464,0.495597
465,0.595826
466,-0.513455
467,-0.948902
468,0.17787
469,0.782622
470,0.103206
471,-0.536739
472,-0.181268
473,0.378563
474,0.343146
475,-0.27417
476,-0.700943
477,0.371757
478,0.761857
479,-0.44462
480,-0.315513
481,0.580308
482,-0.624529
483,-0.778712
484,1.16016
485,1.04083
486,-0.801435
487,-1.12898
488,0.0420719
489,1.01515
490,0.0812849
491,-0.0836723
492,0.277222
493,-0.38082
494,-1.28069
495,0.201956
496,0.835261
497,0.516849
498,0.798462
499,0.0530404
500,-2.75248
501,-1.6141
502,0.736015
503,5.10611
504,2.95876
505,-2.1075
506,-10.9343
507,-4.13738
508,-20.6746
509,43.5276
510,76.8993
511,-91.077
