i_fftResult
Data point,Value (V)
0,5.42824
1,167.519
2,67.3251
3,16.0294
4,4.92412
5,7.01364
6,4.33326
7,1.06262
8,1.39819
9,1.8365
10,0.691018
11,0.159239
12,1.34528
13,1.86528
14,2.03007
15,1.25424
16,0.841986
17,1.24122
18,1.18244
19,0.674965
20,0.552976
21,0.622878
22,0.948391
23,1.30801
24,0.908916
25,0.603842
26,0.903294
27,0.675576
28,0.311775
29,0.420977
30,0.552676
31,0.558996
32,0.471881
33,0.670265
34,0.423422
35,0.228667
36,0.398432
37,0.554475
38,0.466407
39,0.456528
40,0.518843
41,0.478497
42,0.381994
43,0.14155
44,0.16807
45,0.303261
46,0.382861
47,0.222183
48,0.398382
49,0.389687
50,0.434992
51,0.705279
52,0.695406
53,0.530999
54,0.46337
55,0.20026
56,0.158394
57,0.230507
58,0.281401
59,0.617338
60,0.687628
61,0.558445
62,0.32299
63,0.310928
64,0.246519
65,0.14985
66,0.125824
67,0.139837
68,0.308323
69,0.383155
70,0.349195
71,0.314471
72,0.0914737
73,0.154408
74,0.0320828
75,0.284752
76,0.481729
77,0.578473
78,0.444342
79,0.220146
80,0.107324
81,0.0737054
82,0.147449
83,0.186379
84,0.0900758
85,0.104908
86,0.232084
87,0.409309
88,0.442562
89,0.307157
90,0.324661
91,0.304886
92,0.155725
93,0.203969
94,0.267385
95,0.459154
96,0.509955
97,0.37038
98,0.0701677
99,0.219565
100,0.253694
101,0.131745
102,0.230006
103,0.394361
104,0.401098
105,0.291783
106,0.353618
107,0.500669
108,0.4354
109,0.29598
110,0.347089
111,0.36069
112,0.183216
113,0.215665
114,0.334211
115,0.171116
116,0.169499
117,0.292569
118,0.339871
119,0.32012
120,0.128496
121,0.296468
122,0.315046
123,0.207286
124,0.137713
125,0.132163
126,0.185405
127,0.164665
128,0.253671
129,0.314679
130,0.270993
131,0.179209
132,0.0956322
133,0.233682
134,0.228127
135,0.0969265
136,0.146874
137,0.227652
138,0.235588
139,0.144465
140,0.0381079
141,0.0853844
142,0.182014
143,0.165333
144,0.135147
145,0.300143
146,0.465096
147,0.353125
148,0.0785308
149,0.165352
150,0.216632
151,0.111592
152,0.0682143
153,0.170171
154,0.117073
155,0.0965264
156,0.202402
157,0.0466338
158,0.110795
159,0.0643506
160,0.272138
161,0.28951
162,0.183145
163,0.153157
164,0.106102
165,0.0385854
166,0.172103
167,0.348078
168,0.226404
169,0.1885
170,0.378456
