q_adc_measurements
Data point,Value (V)
0,-4.35189
1,-3.90859
2,0.384278
3,5.97947
4,-5.41095
5,-6.70609
6,16.7969
7,-16.0455
8,-68.7817
9,-20.1861
10,132.092
11,109.352
12,-94.8461
13,-64.9294
14,21.5284
15,-14.5359
16,3.78459
17,12.3066
18,-5.17285
19,0.138321
20,-0.968408
21,-5.82246
22,4.10683
23,3.74046
24,-2.94007
25,3.08265
26,-6.68362
27,6.69336
28,24.3268
29,-18.3818
30,-33.9875
31,-6.12416
32,29.3731
33,15.413
34,-15.7429
35,6.11073
36,0.796024
37,-10.9097
38,4.23734
39,3.81786
40,-1.11655
41,2.7338
42,-1.55863
43,-4.16395
44,4.6307
45,0.754544
46,-3.71063
47,-3.0377
48,-8.92692
49,13.1297
50,15.0512
51,-9.7042
52,-9.30963
53,-0.699113
54,5.93813
55,-1.4882
56,-1.58992
57,5.07294
58,-1.52106
59,-3.77877
60,0.441991
61,0.0880681
62,0.390688
63,1.59488
64,-2.42822
65,-0.361939
66,6.05342
67,1.88368
68,-1.25338
69,-6.84396
70,-5.86538
71,7.07168
72,3.51834
73,-2.6541
74,-1.00803
75,0.722387
76,0.287302
77,-1.24861
78,0.330499
79,1.99505
80,0.375023
81,-0.966283
82,-0.272976
83,0.142216
84,0.645019
85,-1.37861
86,-3.50443
87,0.318147
88,3.46661
89,3.45933
90,0.632082
91,-3.53391
92,-1.46971
93,1.0623
94,0.630825
95,0.00248432
96,-0.199904
97,0.0508003
98,-0.132246
99,-1.01922
100,-0.216183
101,1.00095
102,-0.211436
103,-0.38158
104,0.421762
105,1.29539
106,1.29106
107,-1.49898
108,-1.94153
109,-1.11033
110,0.293509
111,2.20536
112,0.37889
113,-0.555351
114,-0.682724
115,-0.553429
116,0.797436
117,0.450623
118,-0.254913
119,0.617691
120,0.00553513
121,-0.966915
122,0.630383
123,0.212518
124,-1.16606
125,-0.204918
126,-0.183285
127,0.510511
128,1.23062
129,0.368743
130,-0.117223
131,-1.31507
132,-0.310758
133,1.01989
134,0.333663
135,-0.0699863
136,-0.707386
137,-0.49308
138,0.484928
139,-0.085928
140,-0.180654
141,0.642642
142,-0.317892
143,-0.051291
144,0.96989
145,-0.375186
146,-0.261756
147,0.525676
148,-1.29754
149,-0.889435
150,1.01566
151,0.753206
152,-0.0478799
153,-0.657493
154,-0.202221
155,0.583187
156,0.426593
157,0.0101452
158,-0.33722
159,-0.140579
160,0.299658
161,-0.270761
162,-0.288063
163,-0.0279342
164,-0.0394776
165,0.376641
166,-0.0325317
167,-0.405893
168,1.09913
169,0.881567
170,-1.76303
171,-0.571452
172,1.02864
173,-0.129594
174,-0.0466366
175,-0.0871992
176,-0.519018
177,0.176686
178,0.321887
179,-0.0422585
180,-0.120474
181,0.303622
182,0.372209
183,-0.112742
184,-0.520561
185,-0.19576
186,0.550001
187,-0.162516
188,-0.693846
189,0.0414801
190,1.265
191,0.110028
192,-1.37893
193,0.511633
194,0.505845
195,-0.519506
196,0.524711
197,0.130479
198,-0.523651
199,0.0384733
200,0.0525563
201,-0.521255
202,-0.054102
203,0.508123
204,0.226266
205,0.0284531
206,-0.531525
207,0.172679
208,0.354377
209,-0.57849
210,-0.202838
211,0.461726
212,0.647929
213,-0.574291
214,-0.552037
215,0.560661
216,-0.296115
217,-0.297605
218,0.457608
219,0.235795
220,-0.0534818
221,0.271779
222,-0.0269324
223,-0.619595
224,0.177502
225,0.173126
226,0.0410988
227,0.208849
228,-0.126752
229,0.068697
230,-0.325857
231,-0.376337
232,0.116818
233,0.415915
234,0.250379
235,-0.287378
236,0.211405
237,0.171011
238,-0.295775
239,-0.338588
240,-0.0955265
241,0.166051
242,-0.115404
243,0.163349
244,0.174496
245,-0.159584
246,-0.0889282
247,-0.286968
248,0.115339
249,0.621384
250,0.273301
251,-0.335569
252,-0.290361
253,0.0790927
254,-0.147869
255,-0.0844454
256,-0.14561
257,-0.0935581
258,0.387612
259,0.38504
260,0.0185027
261,-0.233908
262,0.101611
263,0.0986991
264,-0.649788
265,-0.057085
266,0.882912
267,0.0774803
268,-0.672287
269,-0.460701
270,0.125602
271,0.564772
272,0.114535
273,-0.490119
274,0.202373
275,0.588926
276,-0.155763
277,-0.16981
278,-0.231098
279,-0.471228
280,0.258169
281,0.266157
282,-0.217773
283,0.226989
284,0.567612
285,-0.332486
286,-1.19338
287,0.265526
288,1.31849
289,-0.142644
290,-0.710835
291,0.043288
292,0.159986
293,0.270432
294,-0.110291
295,-0.850874
296,0.312047
297,0.668521
298,-0.335586
299,0.18254
300,0.0772817
301,-0.400834
302,0.199905
303,-0.197123
304,-0.389966
305,0.906788
306,0.579149
307,-0.867503
308,-0.873123
309,0.539201
310,0.906669
311,-0.586931
312,-0.550869
313,0.226094
314,0.108195
315,0.660839
316,-0.224629
317,-0.781203
318,0.699904
319,0.131038
320,-0.735142
321,0.316574
322,0.548904
323,-0.238726
324,0.0812448
325,-0.430121
326,-0.20363
327,0.802492
328,-0.164542
329,-0.586619
330,-0.338227
331,0.649195
332,0.84779
333,-0.423543
334,-0.372138
335,-0.406765
336,0.238029
337,0.463639
338,-0.843131
339,0.12245
340,0.78411
341,-0.487099
342,-0.90321
343,0.319044
344,0.354819
345,-0.213123
346,0.431074
347,0.553867
348,0.291547
349,-0.339937
350,-0.106891
351,-0.376153
352,-1.07109
353,0.468178
354,0.61017
355,0.136871
356,0.0370579
357,-0.0915594
358,0.752219
359,-0.334849
360,-0.723025
361,0.941347
362,0.394472
363,-0.45812
364,0.2644
365,-0.365011
366,-1.21614
367,-1.2452
368,0.442118
369,1.92969
370,-0.237659
371,-0.321878
372,1.61886
373,-0.514652
374,-1.05621
375,0.277172
376,-0.565406
377,-0.532234
378,0.0919414
379,0.240822
380,0.751057
381,-0.37263
382,-0.932008
383,0.104593
384,-1.00338
385,1.76815
386,3.0131
387,-0.179254
388,-1.63265
389,-2.12777
390,0.71451
391,0.787934
392,-2.14898
393,0.46846
394,1.75099
395,-0.226027
396,0.401933
397,0.820056
398,-0.578825
399,-0.455708
400,-0.655912
401,-0.18947
402,2.93422
403,1.26253
404,-1.12953
405,-4.16186
406,-3.76436
407,2.6707
408,3.06243
409,0.718365
410,-0.891443
411,-0.235082
412,2.15115
413,-0.625803
414,-2.30125
415,-0.222761
416,0.474713
417,-0.332494
418,-0.62995
419,0.606316
420,2.28958
421,-1.53016
422,-5.82932
423,0.387156
424,5.53693
425,6.43834
426,0.952073
427,-6.166
428,-2.67364
429,0.898161
430,0.459592
431,-0.361597
432,-1.95554
433,0.599968
434,3.53113
435,0.614557
436,-2.27452
437,0.797388
438,1.66897
439,-1.83456
440,-4.53346
441,4.9083
442,10.984
443,-8.45143
444,-10.3597
445,-2.19887
446,2.48209
447,9.20378
448,-0.133589
449,-3.39158
450,1.90203
451,0.477226
452,0.744088
453,0.675029
454,-5.59783
455,-2.36532
456,7.12132
457,-2.42958
458,-2.4296
459,8.67481
460,-0.735175
461,-12.7647
462,-13.1088
463,20.143
464,17.5851
465,-11.621
466,-3.72603
467,-5.16992
468,0.608747
469,6.11193
470,-4.97668
471,-2.18486
472,2.71485
473,-1.37528
474,5.18451
475,5.58581
476,-13.4312
477,1.02536
478,7.63922
479,-19.5421
480,18.5395
481,35.6664
482,-7.4287
483,-40.7354
484,-21.6833
485,28.4956
486,7.6355
487,-7.35573
488,3.72491
489,-3.69854
490,4.11325
491,5.15397
492,-5.90405
493,-1.3145
494,-0.402874
495,-6.05762
496,13.6615
497,4.25646
498,-15.9858
499,23.5141
500,-69.6921
501,-101.87
502,116.104
503,140.281
504,-21.1626
505,-72.01
506,-16.513
507,17.0289
508,-6.80732
509,-5.22437
510,5.92036
511,-0.196242
