q_fftResult
Data point,Value (V)
0,8.27237
1,8.41505
2,12.1586
3,33.199
4,103.787
5,250.13
6,168.659
7,38.5125
8,19.249
9,7.96629
10,8.43802
11,8.61618
12,6.75686
13,14.2042
14,47.0294
15,53.9185
16,52.1164
17,26.9336
18,17.3519
19,9.51547
20,4.21259
21,7.01649
22,7.72561
23,7.97196
24,26.3874
25,29.9704
26,15.8308
27,10.8881
28,9.21231
29,7.31467
30,1.04441
31,2.5444
32,4.18071
33,11.4464
34,12.6704
35,16.6237
36,7.99456
37,2.7571
38,2.72097
39,4.11316
40,2.28629
41,0.649386
42,3.19946
43,7.16015
44,9.79748
45,6.84309
46,3.24651
47,1.00021
48,0.588245
49,2.52437
50,2.45926
51,1.01454
52,3.42042
53,5.01078
54,4.83119
55,3.81571
56,0.830432
57,1.03285
58,1.21129
59,1.87608
60,2.39545
61,1.22332
62,2.88673
63,2.98425
64,2.24644
65,1.36005
66,1.17081
67,0.351301
68,1.03016
69,1.10563
70,1.82473
71,0.476646
72,2.16315
73,1.59354
74,0.768266
75,0.624145
76,1.25274
77,0.972862
78,0.0565709
79,0.542045
80,1.22642
81,0.456115
82,0.511909
83,0.60586
84,0.583725
85,1.03221
86,0.754661
87,0.845096
88,0.423934
89,0.489626
90,0.997276
91,0.799424
92,0.715933
93,0.931046
94,0.571327
95,0.560194
96,0.622584
97,0.630322
98,0.70023
99,0.569107
100,0.673032
101,1.1411
102,1.02873
103,1.11325
104,1.05926
105,0.345161
106,0.309989
107,0.283047
108,0.684189
109,0.796116
110,0.323758
111,0.772534
112,1.33494
113,1.1995
114,0.66601
115,0.318062
116,0.397586
117,0.517619
118,0.213357
119,0.600392
120,0.509182
121,0.574777
122,0.815702
123,0.876882
124,0.636657
125,0.140928
126,0.238251
127,0.545333
128,0.173076
129,0.173513
130,0.298089
131,0.433019
132,0.647743
133,0.326913
134,0.234011
135,0.210656
136,0.175404
137,0.479001
138,0.285506
139,0.390908
140,0.407491
141,0.495579
142,0.099732
143,0.318076
144,0.195431
145,0.543116
146,0.26577
147,0.606097
148,0.502426
149,0.827592
150,0.905632
151,0.46262
152,0.559049
153,0.401234
154,0.216314
155,0.354316
156,0.419609
157,0.632631
158,0.680265
159,0.79718
160,1.55443
161,1.28717
162,0.590197
163,0.384089
164,0.409808
165,0.219144
166,0.101381
167,0.411835
168,0.626496
169,0.146472
170,1.16511
171,1.813
172,1.34753
173,0.539755
174,0.286221
175,0.169225
176,0.159502
177,0.480321
178,0.434328
179,0.335405
180,0.523566
181,1.25491
182,1.44485
183,0.91377
184,0.566944
185,0.191264
186,0.0396097
187,0.461009
188,0.534091
189,0.243446
190,0.684765
191,0.879208
192,0.858488
193,0.70669
194,0.511294
195,0.278191
196,0.185244
197,0.209476
198,0.453646
199,0.498315
200,0.477989
201,0.770559
202,0.508826
203,0.330108
204,0.226305
205,0.104649
206,0.140438
207,0.171039
208,0.180042
209,0.402462
210,0.576432
211,0.437112
212,0.321782
213,0.201319
214,0.187391
215,0.122544
216,0.177034
217,0.134158
218,0.217071
219,0.2957
220,0.391932
221,0.37125
222,0.172276
223,0.206713
224,0.263733
225,0.26032
226,0.34877
227,0.136973
228,0.109675
229,0.285895
230,0.151779
231,0.258959
232,0.257362
233,0.235713
234,0.232413
235,0.278784
236,0.486122
237,0.259746
238,0.126452
239,0.0969063
240,0.172388
241,0.111532
242,0.287488
243,0.348135
244,0.213746
245,0.317353
246,0.473706
247,0.415868
248,0.077927
249,0.103693
250,0.209159
251,0.168633
252,0.16341
253,0.29156
254,0.228818
255,0.421776
256,167.607
257,69.207
258,8.5696
259,4.46165
260,2.30818
261,0.709129
262,2.2998
263,2.38628
264,1.49986
265,1.36152
266,0.832922
267,1.61566
268,1.09122
269,1.12798
270,0.523856
271,0.786084
272,0.819712
273,0.481222
274,0.682781
275,0.652651
276,0.705802
277,0.407376
278,0.34672
279,0.44266
280,0.557283
281,0.828635
282,0.874957
283,0.504793
284,0.279682
285,0.678449
286,0.885829
287,0.448328
288,0.28849
289,0.188112
290,0.491804
291,0.469925
292,0.179469
293,0.286553
294,0.752791
295,0.495887
296,0.130196
297,0.237652
298,0.138273
299,0.470528
300,0.538708
301,0.445377
302,0.25662
303,0.531336
304,0.630266
305,0.230504
306,0.285862
307,0.456534
308,0.496001
309,0.612956
310,0.526476
311,0.500568
312,0.282983
313,0.375471
314,0.338122
315,0.466893
316,0.323117
317,0.377122
318,0.190871
319,0.247971
320,0.404193
321,0.324889
322,0.252493
323,0.247864
324,0.27092
325,0.276355
326,0.0935025
327,0.245894
328,0.329167
329,0.583962
330,0.183053
331,0.243684
332,0.183334
333,0.151734
